id,category_1,category_2,category_3,name
162104,女装/女士精品,,,衬衫
3035,男装,,,休闲裤
50010160,男装,,,西服
1629,女装/女士精品,,,大码女装
50000671,女装/女士精品,,,T恤
50005065,女装/女士精品,婚纱/旗袍/礼服,,旗袍
50011277,女装/女士精品,,,短外套
50010158,男装,,,夹克
50013194,女装/女士精品,,,毛呢外套
50005867,男装,套装,,工装制服
50008905,女装/女士精品,,,皮草
162201,女装/女士精品,裤子,,休闲裤
50013196,女装/女士精品,,,马夹
162205,女装/女士精品,,,牛仔裤
50011130,男装,,,西服套装
50011411,女装/女士精品,套装/学生校服/工作制服,,医护制服
50010167,男装,,,牛仔裤
50000697,女装/女士精品,,,毛针织衫
162103,女装/女士精品,,,毛衣
50011161,男装,,,皮衣
50011123,男装,,,衬衫
50000852,女装/女士精品,,,中老年女装
50011412,女装/女士精品,套装/学生校服/工作制服,,酒店工作制服
50011153,男装,,,背心/马甲
1623,女装/女士精品,,,半身裙
121412004,女装/女士精品,,,背心吊带
50011129,男装,,,西裤
50008899,女装/女士精品,,,羽绒服
162701,女装/女士精品,婚纱/旗袍/礼服,,婚纱
50008900,女装/女士精品,,,棉衣/棉服
162402,女装/女士精品,套装/学生校服/工作制服,,职业女裤套装
50007068,女装/女士精品,裤子,,打底裤
50008901,女装/女士精品,,,风衣
162703,女装/女士精品,唐装/民族服装/舞台服装,,民族服装/舞台装
50000436,男装,,,T恤
50010850,女装/女士精品,,,连衣裙
